state_name,place_name
Alabama,Auburn
Alabama,Birmingham
Alabama,Dothan
Alabama,Florence
Alabama,Homewood
Alabama,Huntsville
Alabama,Jacksonville
Alabama,Livingston
Alabama,Mobile
Alabama,Montevallo
Alabama,Montgomery
Alabama,Troy
Alabama,Tuscaloosa
Alabama,Tuskegee
Alaska,Anchorage
Alaska,Fairbanks
Alaska,Juneau
Alaska,Ketchikan
Alaska,Sitka
Arizona,Chandler
Arizona,Flagstaff
Arizona,Gilbert
Arizona,Glendale
Arizona,Lake Havasu City
Arizona,Mesa
Arizona,Peoria
Arizona,Phoenix
Arizona,Prescott
Arizona,Scottsdale
Arizona,Tempe
Arizona,Tucson
Arkansas,Arkadelphia
Arkansas,Conway
Arkansas,Fayetteville
Arkansas,Fort Smith
Arkansas,Jonesboro
Arkansas,Little Rock
Arkansas,Magnolia
Arkansas,Monticello
Arkansas,Russellville
Arkansas,Searcy
California,Acton
California,Alhambra
California,Anaheim
California,Angwin
California,Antioch
California,Arcata
California,Arden-Arcade
California,Azusa
California,Bakersfield
California,Berkeley
California,Burbank
California,Camarillo
California,Carson
California,Cerritos
California,Chico
California,Chino Hills
California,Chula Vista
California,Claremont
California,Clovis
California,Compton
California,Concord
California,Corona
California,Costa Mesa
California,Cotati
California,Daly City
California,Davis
California,Downey
California,East Los Angeles
California,El Cajon
California,El Monte
California,Elk Grove
California,Escondido
California,Fairfield
California,Fontana
California,Fremont
California,Fresno
California,Fullerton
California,Garden Grove
California,Glendale
California,Hawthorne
California,Hayward
California,Huntington Beach
California,Indio
California,Inglewood
California,Irvine
California,Isla Vista
California,Lancaster
California,La Mesa
California,La Verne
California,Loma Linda
California,Long Beach
California,Los Angeles
California,Chatsworth
California,Downtown Los Angeles
California,Mid-Wilshire
California,Pico-Union
California,University Park
California,Westchester
California,Malibu
California,Merced
California,Modesto
California,Moreno Valley
California,Murrieta
California,Norwalk
California,Oakland
California,Oceanside
California,Ontario
California,Orange
California,Oxnard
California,Palmdale
California,Palo Alto
California,Pasadena
California,Pleasant Hill
California,Pomona
California,Rancho Cucamonga
California,Redding
California,Redlands
California,Rialto
California,Richmond
California,Ridgecrest
California,Riverside
California,Rocklin
California,Roseville
California,Sacramento :
California,East Sacramento
California,Oak Park
California,Salinas
California,San Bernardino
California,San Diego
California,San Francisco
California,San Jose
California,San Luis Obispo
California,San Marcos
California,Santa Ana
California,Santa Barbara
California,Santa Clara
California,Santa Clarita
California,Santa Cruz
California,Santa Monica
California,Santa Rosa
California,Seaside
California,Simi Valley
California,Stanford
California,Stockton
California,Sunnyvale
California,Temecula
California,Torrance
California,Thousand Oaks
California,Turlock
California,Vallejo
California,Ventura
California,Victorville
California,Visalia
California,Westminster
California,West Covina
California,Whittier
Colorado,Alamosa
Colorado,Aurora
Colorado,Boulder
Colorado,Colorado Springs
Colorado,Denver
Colorado,Durango
Colorado,Fort Collins
Colorado,Golden
Colorado,Grand Junction
Colorado,Greeley
Colorado,Gunnison
Colorado,Lakewood
Colorado,Pueblo
Connecticut,Bridgeport
Connecticut,Danbury
Connecticut,East Hartford
Connecticut,Fairfield
Connecticut,Farmington
Connecticut,Hamden
Connecticut,Hartford
Connecticut,Middletown
Connecticut,New Britain
Connecticut,New Haven
Connecticut,New London
Connecticut,Southington
Connecticut,Stamford
Connecticut,Storrs
Connecticut,Waterbury
Connecticut,Willimantic
Connecticut,West Hartford
Connecticut,West Haven
Delaware,Dover
Delaware,Newark
Delaware,New Castle
Delaware,Wilmington
District of Columbia,"Washington, D.C."
Florida,Ave Maria
Florida,Boca Raton
Florida,Bradenton
Florida,Brandon
Florida,Cape Coral
Florida,Coral Gables
Florida,Coral Springs
Florida,Davie
Florida,Daytona Beach
Florida,DeLand
Florida,Estero
Florida,Fort Lauderdale
Florida,Fort Myers
Florida,Gainesville
Florida,Gulfport
Florida,Hialeah
Florida,Hollywood
Florida,Jacksonville
Florida,Kendall
Florida,Lakeland
Florida,Miami
Florida,Miami Gardens
Florida,Miramar
Florida,Panama City
Florida,Pembroke Pines
Florida,Pensacola
Florida,Port St. Lucie
Florida,Orlando
Florida,Sarasota
Florida,St. Augustine
Florida,St. Leo
Florida,St. Petersburg
Florida,Sunrise
Florida,Tallahassee
Florida,Tampa
Florida,West Palm Beach
Georgia,Albany
Georgia,Alpharetta
Georgia,Athens
Georgia,Atlanta
Georgia,Downtown
Georgia,Druid Hills
Georgia,Midtown
Georgia,Augusta
Georgia,Blue Ridge
Georgia,Brunswick
Georgia,Carrollton
Georgia,Columbus
Georgia,Cumming
Georgia,Dahlonega
Georgia,Demorest
Georgia,Fort Valley
Georgia,Gainesville
Georgia,Glennville
Georgia,Kennesaw
Georgia,Lawrenceville
Georgia,Madison
Georgia,Macon
Georgia,Milledgeville
Georgia,Monroe
Georgia,Mount Vernon
Georgia,Oxford
Georgia,Rome
Georgia,Savannah
Georgia,Statesboro
Georgia,Swainsboro
Georgia,Valdosta
Georgia,Vidalia
Georgia,Waleska
Georgia,Watkinsville
Georgia,Young Harris
Hawaii,Honolulu
Hawaii,Laie
Idaho,Boise
Idaho,Caldwell
Idaho,Lewiston
Idaho,Moscow
Idaho,Nampa
Idaho,Pocatello
Idaho,Rexburg
Illinois,Alton
Illinois,Aurora
Illinois,Carbondale
Illinois,ChampaignUrbana
Illinois,Charleston
Illinois,Chicago :
Illinois,North Park
Illinois,Roseland
Illinois,University Village/Little Italy
Illinois,Deerfield
Illinois,DeKalb
Illinois,Downers Grove
Illinois,Edwardsville
Illinois,Elgin
Illinois,Evanston
Illinois,Joliet
Illinois,Lebanon
Illinois,Macomb
Illinois,Naperville
Illinois,Normal
Illinois,Peoria
Illinois,River Forest
Illinois,Rock Island
Illinois,Rockford
Illinois,Springfield
Illinois,University Park
Indiana,Angola
Indiana,Bloomington
Indiana,Columbus
Indiana,Crawfordsville
Indiana,Fort Wayne
Indiana,Gary
Indiana,Greencastle
Indiana,Hanover
Indiana,Indianapolis
Indiana,Kokomo
Indiana,Marion
Indiana,Muncie
Indiana,New Albany
Indiana,Notre Dame
Indiana,Oakland City
Indiana,Richmond
Indiana,South Bend
Indiana,Terre Haute
Indiana,Upland
Indiana,Valparaiso
Indiana,West Lafayette
Iowa,Ames
Iowa,Bettendorf
Iowa,Cedar Falls
Iowa,Cedar Rapids
Iowa,Davenport
Iowa,Decorah
Iowa,Des Moines
Iowa,Fayette
Iowa,Grinnell
Iowa,Indianola
Iowa,Iowa City
Iowa,Lamoni
Iowa,Moline
Iowa,Mount Vernon
Iowa,Orange City
Iowa,Oskaloosa
Iowa,Sioux Center
Iowa,Storm Lake
Iowa,Waverly
Kansas,Baldwin City
Kansas,Emporia
Kansas,Hays
Kansas,Kansas City
Kansas,Lawrence
Kansas,Manhattan
Kansas,Olathe
Kansas,Overland Park
Kansas,Pittsburg
Kansas,Topeka
Kansas,Wichita
Kentucky,Barbourville
Kentucky,Berea
Kentucky,Bowling Green
Kentucky,Campbellsville
Kentucky,Columbia
Kentucky,Crestview Hills
Kentucky,Danville
Kentucky,Frankfort
Kentucky,Georgetown
Kentucky,Grayson
Kentucky,Highland Heights
Kentucky,Lexington
Kentucky,Louisville
Kentucky,Midway
Kentucky,Morehead
Kentucky,Murray
Kentucky,Owensboro
